"","sector","religion","rates"
"1","RURAL","Buddhism",0.00556300878244123
"2","RURAL","Christianity",0.0226467341354392
"3","RURAL","Hinduism",0.838792873533543
"4","RURAL","Islam",0.111987281966929
"5","RURAL","Jainism",0.000751804966928628
"6","RURAL","Others",0.00309195105052715
"7","RURAL","Sikhism",0.0171502861439606
"8","RURAL","Zoroastrianism",0.0000160594202311833
"9","URBAN","Buddhism",0.00417117181710624
"10","URBAN","Christianity",0.0293190422976825
"11","URBAN","Hinduism",0.803222052395864
"12","URBAN","Islam",0.143525141388757
"13","URBAN","Jainism",0.00508617575986168
"14","URBAN","Others",0.00243846595612172
"15","URBAN","Sikhism",0.0119233878070141
"16","URBAN","Zoroastrianism",0.000314562577592375
